Index,Cat_Name,Scientific Name,Location,Genus,Family,Species,Bloom Time
4,sweet pea,Lathyrus odoratus,"native to Sicily, southern Italy and the Aegean Islands.",Lathyrus,Fabaceae,L. odoratus,Late winter-early summer
86,tree mallow,Lavatera,"native to Macaronesia, North Africa, Europe, central and southwestern Asia, Ethiopia, North America (California and Mexico) and Australia, with a centre of distribution in the Mediterranean region.",Lavatera,Malvaceae,Mallow,mid-summer and continues to bloom until frost.
101,trumpet creeper,Campsis radicans,native to the eastern United States.,Campsis,Bignoniaceae,C. radicans,June to September; peaks in July
42,daffodil,Narcissus,Daffodils are native to northern Europe and are grown in temperate climates around the world.,Narcissus,Amaryllidaceae,Narcissus poeticus L.,late winter or early spring.
22,pincushion flower,Scabiosa,"native to Africa, Europe and Asia.",Scabiosa L.,Caprifoliaceae,Scabiosa caucasica,spring until frost
2,hard-leaved pocket orchid,Paphiopedilum micranthum,"Paphiopedilum micranthum is found from northern Vietnam to western and northern Guangxi, southeastern Yunnan and western Guizhou (China).",Paphiopedilum,Orchidaceae,	P. micranthum,It blooms during late winter to early summer
54,sunflower,Helianthus,native to North America and Central America.,"Helianthus
L.[2]",Asteraceae,H. annuus,summer and into autumn
66,osteospermum,Osteospermum,Found in Africa,Osteospermum L.,Asteraceae,Osteospermum ecklonis,May through fall
70,tree poppy,Dendromecon rigida,native to California and Baja California.,Dendromecon,Papaveraceae,D. rigida,"late spring to early summer,"
85,desert-rose,Adenium obesum,"native to the Sahel regions, south of the Sahara, and tropical and subtropical eastern and southern Africa and Arabia",Adenium,Apocynaceae,A. obesum,Desert roses typically bloom for several weeks throughout spring and summer.
99,bromelia,bromelia,Bromelia species are widespread across much of Latin America and the West Indies.,Bromelia; L.,Bromeliaceae,Bromelia karatas,It's always bromeliad season
87,magnolia,Magnolia,native of the southeastern US .,Magnolia; L.,Magnoliaceae,Magnolia virginiana L.,late winter to midsummer.
5,english marigold,Calendula,"native to the Canary Islands, Europe, and North Africa.","Calendula
L.",Asteraceae,Calendula officinalis L,"early summer, up until the first frost."
92,bee balm,Monarda, endemic to North America .,Monarda; L.,Lamiaceae,Monarda fistulosa L.,Blooms begin in July and continue until late summer.
28,stemless gentian,Gentiana acaulis,"native to central and southern Europe, from Spain east to the Balkans, growing especially in mountainous regions, such as the Alps and Pyrenees.",Gentiana,Gentianaceae,G. acaulis,late spring to early summer.
97,mallow,Malva,Eastern Europe and northern Africa,Malva,Malvaceae,M. sylvestris,Early spring to mid fall
57,gaura,Oenothera lindheimeri,This species is hardy in zones 5-9 and was awarded the Royal Horticultural Society's Award of Garden Merit.,Oenothera,Onagraceae,O. lindheimeri,Summer
40,lenten rose,Helleborus orientalis,Lenten rose is hardy from Zone 9 to Zone 5 and colder when plants have with winter protection such as good snow cover. Lenten rose in a garden. Mature plants can form clumps that are 18” to 24” tall and 24” to 30” wide.,Helleborus,Ranunculaceae,H. orientalis,late winter to early spring
47,marigold,Tagetes,"The plants are native to the Americas, growing naturally from the southwestern United States into South America, but some species have become naturalized around the world.",Tagetes,Asteraceae,Approximately 50 different species,Winter
59,orange dahlia,Dahlia pinnata,the higher elevations of Mexico and Central America.,Dahlia,Asteraceae,Approximately 40 different species,Mid-July and in spring season
48,buttercup,Eschscholtz's buttercup (Ranunculus eschscholtzii),Europe and North America,Ranunculus,Ranunculaceae,Ranunculus bulbosus L.,starts in May and lasts through August
55,pelargonium,Pelargonium,USDA Hardiness Zones 9 -12. Zonal geraniums are basically tropical perennials.,Pelargonium,Geraniaceae,Pelargonium hirsutum,spring
36,ruby-lipped cattleya,Cattleya labiata,Brazil,Cattleya,Orchidaceae,"Cattleya,",spring
91,hippeastrum,Hippeastrum,"the warm, tropical and subtropical regions of South America and the Caribbean.",Amaryllidaceae,Hippeastrum reginae,Hippeastrum reginae,Winter: 6-10 weeks after planting indoors.
29,artichoke,Cynara scolymus,Mediterranean region,Cynara,Asteraceae,Three,May
71,gazania,Gazania rigens,"South Africa, Swaziland, Mozambique, Tanzania, and Angola.",Gazania,Asteraceae,Gazania rigens,Early summer
90,canna lily,Canna,America,Canna,Cannaceae,Nine,from late spring or early summer to frost.
18,peruvian lily,Alstroemeria,"United States, Mexico, Australia, New Zealand, Madeira and the Canary Islands.",Alstroemeria,Alstroemeriaceae,Around 200,early summer
98,mexican petunia,Ruellia angustifolia,"Mexico, the Caribbean, and South America and Florida",Ruellia,Acanthaceae,R. angustifolia,Mid spring
8,bird of paradise,Paradisaeidae,Papua New Guinea and eastern Australia.,Strelitzia,Strelitziaceae,Three,By the end of September of October
30,sweet william,Dianthus barbatus,southern Europe and parts of Asia.,Dianthus,Caryophyllaceae,D. barbatus,Winter
17,purple coneflower,Echinacea purpurea,Eastern and central North America,Echinacea,E. purpurea,E. purpurea,June and October
52,wild pansy,Viola tricolor,Europoe,Viola,Violaceae,V. tricolor,Spring
84,columbine,Aquilegia,The woodland and mountain areas of Europe and North America,Aquilegia,buttercup,60-70,From mid-spring to early summer.
12,colts foot,Tussilago farfara,Europe and parts of western and central Asia.,Tussilago,Asteraceae,T. farfara,April-June
11,snapdragon,Antirrhinum,"Rocky areas of Europe, the United States",Antirrhinum,Plantaginaceae,40,April to frost
96,camellia,Camellia,"Eastern and southern Asia, from the Himalayas east to Japan and Indonesia.",Camellia,Theaceae,250,late fall to mid-spring
23,fritillary,Fritillaria meleagris,"Northern hemisphere, from the Mediterranean and North Africa through Eurasia and southwest Asia to western North America.",Fritillaria,Liliaceae,Around two,Spring
50,common dandelion,Taraxacum officinale,"The common dandelion grows just about anywhere including fields, roadsides, and, unfortunately, lawns.",Taraxacum,Asteraceae,T. officinale,May to October
44,Poinsettia,Euphorbia pulcherrima,Mexico and Central America,Euphorbia,Euphorbiaceae,E. pulcherrima,October to December
53,primula,Primula,Sino-Himalayan region,Primula,Primulaceae,Many,"starting in early to mid-spring and continuing for six weeks or more, depending on the temperature and weather"
72,azalea,Rhododendron,Native form Georgia to South Carolina,Rhodoreae,Ericaceae,Rhododendron ferrugineum L,Spring
65,californian poppy,Eschscholzia californica,"California , Oregon, Washington, Nevada, Arizona, New Mexico, Sonora and northwest Baja California.",Eschscholzia,Papaveraceae,E. californica,Summer
80,anthurium,Anthurium,"America, northern Mexico to northern Argentina and parts of the Caribbean",Anthurium,Araceae,825,Six blooms per year
76,morning glory,lpomoea,China,Argyreia,Convolvulaceae,Approximate 10 species,In August or even early September 
37,cape flower,Tecoma capensis,South Africa,Nerine,Amaryllidaceae,Nerine Bowdenii,September and October
56,Dahlia,bishop of llandaff,Mexico and Central America,Dahlia,Asteraceae,Approximate 42 species,Mid july
60,pink-yellow dahlia,Dahlia pinnata,Mexico and Central America,Dahlia,Asteraceae,D.pinnata,July
82,clematis,Clematis(Ranunculaceae),Chinese and Japanese,Clematis,Ranunculaceae,C.Vitalba,Summer 
58,geranium,Geraniaceae,Mostly in Eastern Part of the Mediterranean Region,Geranium,Geraniaceae,420 Species(Cranesbill),Spring
75,thorn apple,Datura Stramonium,Central Americaq,Datura,Solanaceae,D.stramonium,Summer
41,barbeton daisy,Gerbera Jamesonii,South Eastern Africa,Gerbera,Asteraceae,G. jamesonii,Summer
95,bougainvillea,bougainvillea,"South America , Brazil, Peru and Argentina",bougainvillea,Nyctaginaceae,Approximate 18 Species,November to May
43,sword lily,Gladiolus,"Asia,South Africa,Mediterranean Europe",Gladioleae,Iridaceae,Approximate 260 Species,Late Spring to Early Summer
83,hibiscus,Hibiscus Rose-Sinensis,China,Hibiscus,Malvaceae,Rose Mallow,Winter
78,lotus,Nelumbo Nucifera,"India,Egypt",Nelumbo,Nelumbonaceae,N. nucifera,Summer
88,cyclamen,Cyclamineae,"Europe,Iran",Cyclamen,Primulaceae,Cyclamen africanum,Winter and Spring
94,foxglove,Digitalis,Europe and Canary island,Tourn,Plntaginaceae,Over 20 Species (Herbaceous),Summer
81,frangipani,Plumeria,"Mexico,Central American,Brazil",Plumeria,Apocynaceae,Plumeria,Spring
74,rose,Rosa,"Asia,Europe,North America and Africa",Rosa,Rosaceae,Around 300 Species,"Spring,Summer,Fall"
89,watercress,Nasturtium officinale,"United States, Mexico, Australia, New Zealand, Madeira and the Canary Islands.",Nasturtium,Brassicaceae,N.officinale,April to October
73,water lily,Nymphaeaceae,North America,Nymphaea,Nymphaeaceae,Approximate 70 species,May to Early September
46,wallflower,Erysimum,"Europe,Native American",Erysimum,Brassicaceae,More than 150 Species,"Spring,Summer,Fall"
77,passion flower,Passiflora,"Tropical America but with a few species in Asia,Australia and POlynesian Islands",Passiflora,Passifloraceae,Approximate 550 Species,July to cold
51,petunia,Atkinsiana,South America ,Petunia,Solanaceae,Approximate 20 Species,Hot and windy Seanson
